,location,total_sqft,bath,price,bhk
5355,JP Nagar,1452.0,2.0,41.0,3
5356,Choodasandra,1254.0,2.0,65.0,3
5357,other,3600.0,5.0,110.0,5
5358,Kanakpura Road,1593.0,3.0,118.0,3
5359,other,1333.0,2.0,77.27,2
5360,Raja Rajeshwari Nagar,1375.0,2.0,54.99,3
5361,Ardendale,1650.0,3.0,82.0,3
5362,Thanisandra,1430.0,2.0,51.48,3
5363,Electronic City,940.0,2.0,54.0,2
5364,Electronic City,435.0,1.0,21.0,1
5365,Begur Road,1160.0,2.0,36.54,2
5366,Electronic City,1500.0,2.0,77.5,3
5367,Koramangala,1890.0,2.0,100.0,3
5368,other,1050.0,2.0,70.0,2
5369,Haralur Road,1027.0,2.0,43.0,2
5370,Seegehalli,3000.0,4.0,235.0,3
5371,Tumkur Road,1459.0,2.0,95.0,3
5372,Yelahanka,1711.0,3.0,85.61,3
5373,Hoodi,1250.0,2.0,98.0,2
5374,Anandapura,875.0,2.0,57.0,2
5375,Ramamurthy Nagar,1334.0,2.0,67.0,2
5376,other,1140.0,2.0,32.92,2
5377,Sarjapur  Road,1115.0,2.0,50.0,2
5378,Thigalarapalya,2072.0,4.0,160.0,3
5379,Kengeri Satellite Town,920.0,2.0,39.0,2
5380,Nagasandra,1310.0,3.0,95.0,4
5381,Electronic City,1631.0,3.0,80.0,3
5382,Kanakpura Road,525.0,1.0,27.5,1
5383,Jalahalli,1395.0,3.0,82.0,3
5384,other,2000.0,3.0,105.0,3
5385,Hennur Road,1232.0,2.0,66.0,2
5386,other,1075.0,2.0,55.0,2
5387,Gubbalala,1205.0,2.0,70.0,2
5388,Rajiv Nagar,2340.0,5.0,129.0,4
5389,Rayasandra,1179.0,2.0,55.0,3
5390,Kodigehaali,1013.0,2.0,51.0,2
5391,Uttarahalli,1160.0,2.0,40.6,2
5392,7th Phase JP Nagar,1200.0,2.0,62.5,2
5393,Uttarahalli,1255.0,2.0,50.19,3
5394,other,1069.0,2.0,55.0,2
5395,other,1200.0,3.0,99.0,3
5396,Marathahalli,1065.0,2.0,55.0,2
5397,Lakshminarayana Pura,1395.0,2.0,75.0,2
5398,other,1007.0,2.0,43.0,2
5399,Kengeri,1436.0,2.0,55.0,3
5400,other,4250.0,6.0,150.0,6
5401,Hebbal,1645.0,3.0,117.0,3
5402,Kengeri,1200.0,2.0,58.0,2
5403,Mysore Road,940.0,2.0,43.61,2
5404,KR Puram,4300.0,6.0,175.0,6
5405,Haralur Road,1194.0,2.0,47.0,2
5406,Dodda Nekkundi,1829.0,3.0,125.0,3
5407,other,1000.0,2.0,60.0,2
5408,other,5720.0,3.0,350.0,3
5409,Hebbal,1390.0,2.0,95.0,2
5410,Lakshminarayana Pura,1500.0,3.0,104.0,3
5411,Vijayanagar,2047.0,3.0,136.0,3
5412,Jakkur,1202.0,2.0,79.0,2
5413,other,1012.0,2.0,59.0,2
5414,Gunjur,2132.0,3.0,80.0,3
5415,Whitefield,605.0,1.0,40.0,1
5416,Harlur,1331.0,2.0,88.0,2
5417,Margondanahalli,1200.0,2.0,69.0,2
5418,other,1280.0,2.0,49.0,3
5419,Balagere,1007.0,2.0,62.0,2
5420,Thanisandra,1370.0,2.0,61.0,3
5421,other,925.0,2.0,35.0,2
5422,TC Palaya,1500.0,2.0,75.0,2
5423,Hennur Road,1341.0,2.0,95.0,2
5424,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
5425,Tumkur Road,992.0,2.0,60.0,2
5426,Uttarahalli,1163.0,2.0,68.0,2
5427,Sarjapur  Road,1229.0,2.0,70.0,2
5428,other,600.0,2.0,39.0,2
5429,Electronic City Phase II,1219.0,2.0,61.26,2
5430,Raja Rajeshwari Nagar,1525.0,2.0,99.13,3
5431,Kasavanhalli,1147.0,2.0,60.0,2
5432,Akshaya Nagar,1412.0,2.0,88.0,3
5433,Sarjapur  Road,1044.0,2.0,34.77,2
5434,Nagarbhavi,1190.0,2.0,63.0,2
5435,other,1240.0,2.0,65.0,3
5436,Jigani,1352.0,3.0,65.0,3
5437,other,1100.0,2.0,55.0,2
5438,Uttarahalli,1330.0,2.0,39.9,3
5439,other,1700.0,3.0,111.0,3
5440,Electronic City,1355.0,2.0,67.0,2
5441,Ramamurthy Nagar,1200.0,2.0,46.0,2
5442,Kengeri,400.0,2.0,25.0,1
5443,Sarjapur  Road,1342.0,2.0,70.0,2
5444,Begur Road,1615.0,3.0,50.87,3
5445,other,1340.0,2.0,65.0,2
5446,other,1200.0,2.0,54.0,2
5447,Devanahalli,1080.0,2.0,52.0,2
5448,Electronic City,1200.0,2.0,34.0,2
5449,Hennur Road,2700.0,3.0,150.0,3
5450,other,1780.0,3.0,110.0,3
5451,Amruthahalli,1605.0,3.0,65.0,3
5452,Kammanahalli,1200.0,2.0,80.0,2
5453,Margondanahalli,900.0,2.0,49.0,2
5454,Sarjapur,1830.0,3.0,88.0,3
5455,other,1800.0,4.0,68.0,5
5456,Uttarahalli,1065.0,2.0,42.59,2
5457,other,900.0,2.0,65.0,3
5458,other,946.0,2.0,45.0,2
5459,Laggere,1500.0,1.0,60.0,1
5460,Sarjapur  Road,1711.0,3.0,110.0,3
5461,Kudlu Gate,1656.0,3.0,80.0,3
5462,Uttarahalli,1075.0,2.0,46.76,2
5463,Harlur,1752.12,3.0,133.0,3
5464,other,1540.0,3.0,85.0,3
5465,LB Shastri Nagar,665.0,1.0,32.0,1
5466,Sector 2 HSR Layout,1665.0,3.0,110.0,3
5467,Electronics City Phase 1,1145.0,2.0,54.0,2
5468,Whitefield,1185.0,2.0,41.0,2
5469,Marathahalli,1693.0,3.0,125.0,3
5470,Uttarahalli,1155.0,2.0,40.6,2
5471,other,1610.0,2.0,64.4,3
5472,Whitefield,1200.0,3.0,56.58,3
5473,EPIP Zone,1709.0,3.0,80.0,3
5474,Gottigere,1400.0,2.0,50.0,3
5475,KR Puram,1200.0,2.0,42.0,2
5476,other,1439.0,3.0,57.23,3
5477,Kasavanhalli,1375.0,2.0,72.0,2
5478,Vijayanagar,1200.0,2.0,75.0,3
5479,Yelahanka,1315.0,2.0,75.0,2
5480,Yelahanka,3600.0,6.0,200.0,6
5481,Vijayanagar,1178.0,2.0,82.0,2
5482,Bannerghatta Road,1430.0,3.0,59.0,3
5483,Mahadevpura,1400.0,2.0,65.8,3
5484,Thanisandra,1093.0,2.0,72.0,2
5485,Horamavu Banaswadi,1200.0,2.0,45.0,2
5486,Magadi Road,5000.0,6.0,360.0,5
5487,Whitefield,2210.0,3.0,156.0,3
5488,Uttarahalli,1150.0,2.0,70.0,2
5489,other,1435.0,2.0,60.0,3
5490,Whitefield,1173.0,2.0,78.2,2
5491,Thanisandra,1140.0,2.0,39.0,2
5492,other,1717.0,3.0,120.0,3
5493,Mallasandra,1325.0,2.0,65.0,2
5494,Hoodi,1370.0,3.0,67.0,3
5495,other,1409.0,2.0,62.0,3
5496,Bellandur,1200.0,2.0,52.0,2
5497,Thanisandra,1200.0,2.0,53.5,2
5498,Whitefield,1740.0,4.0,130.0,3
5499,Hennur Road,1232.0,2.0,88.0,2
5500,Chandapura,1200.0,2.0,36.0,2
5501,other,1250.0,2.0,50.0,2
5502,Bommanahalli,2100.0,4.0,85.0,4
5503,5th Phase JP Nagar,552.0,1.0,23.5,1
5504,Uttarahalli,1065.0,2.0,42.59,3
5505,other,1225.0,2.0,65.0,2
5506,Padmanabhanagar,1067.0,2.0,52.0,2
5507,Sarjapur,1364.0,2.0,56.0,3
5508,other,1750.0,3.0,75.0,3
5509,Bannerghatta Road,1240.0,2.0,71.0,2
5510,Hulimavu,1200.0,2.0,75.0,2
5511,Kaggadasapura,1540.0,3.0,75.0,3
5512,other,1504.0,2.0,102.0,3
5513,other,1116.0,2.0,49.8,2
5514,Hennur Road,2365.0,4.0,175.0,3
5515,Sarjapura - Attibele Road,1308.0,2.0,37.0,2
5516,Vijayanagar,864.0,2.0,45.0,2
5517,Hoskote,1069.0,2.0,38.0,3
5518,Hebbal,1333.0,2.0,100.0,2
5519,other,1800.0,4.0,145.0,4
5520,Thanisandra,1698.0,3.0,107.0,3
5521,JP Nagar,1275.0,2.0,43.6,3
5522,Raja Rajeshwari Nagar,1060.0,2.0,48.0,2
5523,Hennur,1160.0,2.0,49.0,2
5524,Sarjapur  Road,1484.0,2.0,65.0,3
5525,Hennur Road,1310.0,2.0,66.0,2
5526,other,3000.0,4.0,240.0,4
5527,Varthur,2145.0,3.0,165.0,3
5528,Marathahalli,1693.0,3.0,125.0,3
5529,Jigani,1230.0,3.0,60.0,3
5530,Bommasandra Industrial Area,1310.0,2.0,37.83,3
5531,other,1150.0,2.0,60.0,2
5532,Munnekollal,1385.0,2.0,66.5,3
5533,Tumkur Road,1066.0,2.0,52.5,2
5534,Thanisandra,2293.0,3.0,80.26,3
5535,other,1625.0,3.0,92.0,3
5536,Vittasandra,1246.0,2.0,67.4,2
5537,Raja Rajeshwari Nagar,3900.0,6.0,195.0,6
5538,7th Phase JP Nagar,1000.0,2.0,70.65,2
5539,Nagavarapalya,907.0,2.0,38.0,2
5540,Ulsoor,3500.0,4.0,138.0,4
5541,Varthur,1395.0,2.0,79.0,3
5542,other,1180.0,2.0,50.0,2
5543,Banaswadi,1903.0,6.0,140.0,5
5544,Electronic City,1175.0,2.0,47.0,2
5545,other,1272.0,2.0,51.5,2
5546,other,1490.0,2.0,92.0,3
5547,Yeshwanthpur,1144.0,2.0,67.0,2
5548,other,2400.0,5.0,140.0,4
5549,Hormavu,1143.0,2.0,53.0,2
5550,Karuna Nagar,2500.0,3.0,190.0,3
5551,Whitefield,1216.0,2.0,75.0,2
5552,other,1044.0,2.0,60.0,2
5553,Prithvi Layout,1352.0,3.0,93.0,2
5554,Hennur Road,1552.0,3.0,75.0,3
5555,Bellandur,1785.0,3.0,120.0,3
5556,Pai Layout,810.0,2.0,34.5,2
5557,Banashankari Stage V,1650.0,3.0,51.98,3
5558,other,1595.0,3.0,70.39,3
5559,Whitefield,1060.0,2.0,35.0,2
5560,Babusapalaya,1410.0,2.0,65.0,3
5561,Nagarbhavi,1523.0,2.0,56.0,3
5562,Kanakpura Road,1591.0,3.0,122.0,3
5563,other,1640.0,3.0,84.0,3
5564,Yelahanka New Town,450.0,1.0,16.0,1
5565,Bannerghatta Road,1305.0,2.0,60.0,3
5566,Yelahanka,1590.0,3.0,54.0,3
5567,Kaggadasapura,1240.0,2.0,45.0,2
5568,other,1200.0,2.0,54.0,2
5569,Dodda Nekkundi,1100.0,2.0,41.16,2
5570,Sarjapur  Road,1115.0,2.0,50.0,2
5571,Bisuvanahalli,845.0,2.0,33.0,2
5572,Channasandra,1310.0,2.0,45.0,3
5573,other,959.0,2.0,42.5,2
5574,Kambipura,883.0,2.0,37.0,2
5575,Rachenahalli,1050.0,2.0,55.5,2
5576,Yelahanka,1390.0,2.0,70.21,2
5577,Kenchenahalli,1280.0,2.0,69.0,3
5578,Yelahanka,1614.0,3.0,95.0,3
5579,Kasturi Nagar,1000.0,2.0,58.0,2
5580,Marathahalli,1196.0,2.0,57.9,2
5581,Sarjapur  Road,1220.0,3.0,57.0,3
5582,Ambalipura,950.0,2.0,31.95,2
5583,other,1141.0,2.0,55.0,2
5584,5th Phase JP Nagar,1200.0,2.0,51.0,2
5585,Kasavanhalli,1380.0,2.0,55.0,3
5586,Doddathoguru,855.0,2.0,32.0,2
5587,Chandapura,922.0,2.0,36.0,2
5588,other,1200.0,2.0,43.2,2
5589,other,1240.0,2.0,65.0,3
5590,7th Phase JP Nagar,1070.0,2.0,42.0,2
5591,other,1293.0,2.0,75.0,2
5592,R.T. Nagar,1380.0,2.0,50.0,3
5593,Yelahanka New Town,1599.0,3.0,80.0,3
5594,Nehru Nagar,967.0,2.0,41.1,2
5595,other,1885.0,3.0,90.0,3
5596,other,860.0,2.0,65.5,2
5597,Sarjapur  Road,1050.0,2.0,63.5,2
5598,Marathahalli,1595.0,3.0,88.0,3
5599,Sarjapur  Road,1350.0,2.0,102.0,2
5600,Hebbal,1204.0,2.0,45.0,2
5601,Sarjapur  Road,2990.0,4.0,240.0,4
5602,Sarjapur  Road,1035.0,2.0,49.0,2
5603,ITPL,1000.0,2.0,29.95,2
5604,Sarjapur  Road,1457.0,3.0,85.0,3
5605,Haralur Road,1194.0,2.0,47.0,2
5606,Bannerghatta,1100.0,2.0,66.0,2
5607,Whitefield,1655.0,3.0,120.0,3
5608,Kanakpura Road,1691.2,3.0,115.0,3
5609,Ramagondanahalli,1215.0,2.0,46.1,2
5610,Kanakpura Road,1660.0,2.0,50.125,2
5611,Hoodi,1639.0,3.0,129.0,3
5612,Sarjapur  Road,1685.0,3.0,135.0,3
5613,Hormavu,1100.0,2.0,38.0,2
5614,Marathahalli,2122.0,3.0,125.0,3
5615,Vasanthapura,1050.0,2.0,47.0,2
5616,Kengeri,1230.0,2.0,45.0,2
5617,5th Phase JP Nagar,1240.0,3.0,60.0,3
5618,Electronic City Phase II,1252.0,2.0,65.0,3
5619,other,1374.0,2.0,88.0,3
5620,8th Phase JP Nagar,500.0,1.0,30.0,1
5621,Hebbal,1355.0,3.0,83.87,3
5622,Banashankari,1040.0,2.0,45.0,2
5623,Sarjapur  Road,1350.0,2.0,68.0,2
5624,Hennur,2400.0,3.0,135.0,3
5625,Haralur Road,1560.0,3.0,90.0,3
5626,Anandapura,1151.0,2.0,43.16,2
5627,Uttarahalli,1360.0,2.0,47.59,3
5628,other,1250.0,2.0,60.0,2
5629,Hennur Road,1015.0,2.0,50.0,2
5630,Kadugodi,1351.0,2.0,78.0,3
5631,Yelahanka New Town,960.0,2.0,50.0,2
5632,other,1110.0,2.0,52.0,2
5633,R.T. Nagar,1680.0,3.0,72.0,3
5634,Arekere,2400.0,3.0,180.0,3
5635,other,1350.0,3.0,48.6,3
5636,Horamavu Banaswadi,1254.0,2.0,47.0,2
5637,CV Raman Nagar,1051.0,2.0,61.0,2
5638,Uttarahalli,1099.0,2.0,65.0,2
5639,Hebbal,2650.0,4.0,199.0,3
5640,other,2000.0,2.0,160.0,4
5641,Sarjapur  Road,1200.0,3.0,70.0,3
5642,Whitefield,1125.0,2.0,45.0,2
5643,Vittasandra,1650.0,3.0,85.0,3
5644,other,834.0,1.0,62.0,1
5645,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
5646,Mysore Road,1500.0,3.0,74.0,3
5647,Whitefield,1180.0,2.0,70.0,2
5648,Kadugodi,1010.0,2.0,50.0,2
5649,Channasandra,1070.0,2.0,38.0,2
5650,Choodasandra,1580.0,3.0,105.0,3
5651,Green Glen Layout,2000.0,3.0,165.0,3
5652,Iblur Village,1920.0,3.0,130.0,3
5653,Sanjay nagar,1200.0,2.0,76.0,3
5654,Kalena Agrahara,1040.0,2.0,45.0,2
5655,Hulimavu,1430.0,2.0,90.0,3
5656,Uttarahalli,1215.0,2.0,52.85,3
5657,Thanisandra,1564.0,3.0,105.0,3
5658,Hormavu,750.0,2.0,58.0,2
5659,Kasavanhalli,1200.0,2.0,60.0,2
5660,Raja Rajeshwari Nagar,1128.0,2.0,48.79,2
5661,Begur Road,1200.0,2.0,44.4,2
5662,other,2000.0,4.0,135.0,4
5663,Yelahanka,1650.0,3.0,105.0,3
5664,Yelahanka,1200.0,2.0,55.0,2
5665,Kengeri Satellite Town,985.0,2.0,42.0,2
5666,Ramagondanahalli,1475.0,2.0,63.0,3
5667,Sarjapur  Road,1157.0,2.0,53.99,3
5668,other,900.0,2.0,35.0,2
5669,Gottigere,2500.0,3.0,120.0,4
5670,GM Palaya,1030.0,2.0,60.0,2
5671,other,1000.0,2.0,46.0,2
5672,Kasavanhalli,4260.0,4.0,333.0,4
5673,Kudlu,1570.0,2.0,65.94,3
5674,Kanakapura,1283.0,2.0,68.0,2
5675,other,1200.0,2.0,52.0,2
5676,Konanakunte,2400.0,2.0,180.0,3
5677,Kathriguppe,1250.0,2.0,68.75,3
5678,Yelahanka,990.0,2.0,37.62,2
5679,Panathur,1199.0,2.0,85.0,2
5680,other,1280.0,2.0,90.0,2
5681,other,1190.0,2.0,55.0,2
5682,Yelachenahalli,1100.0,2.0,60.0,2
5683,Harlur,1133.0,2.0,55.0,2
5684,Somasundara Palya,2400.0,3.0,140.0,4
5685,Whitefield,1280.0,2.0,69.0,2
5686,Horamavu Agara,1250.0,3.0,65.0,3
5687,Begur Road,1565.0,2.0,49.3,3
5688,other,1900.0,3.0,65.0,3
5689,Munnekollal,1080.0,2.0,45.0,2
5690,Battarahalli,600.0,1.0,47.0,1
5691,HRBR Layout,1335.0,2.0,87.0,3
5692,Vittasandra,1246.0,2.0,67.3,2
5693,JP Nagar,5048.0,2.0,237.5,3
5694,Sarjapur  Road,1385.0,3.0,55.0,3
5695,other,1578.0,3.0,73.9,3
5696,HSR Layout,1140.0,2.0,46.0,2
5697,Sarjapur  Road,1700.0,3.0,79.9,3
5698,Vidyaranyapura,1120.0,2.0,70.0,2
5699,Electronic City,435.0,1.0,22.0,1
5700,Magadi Road,1116.0,2.0,51.89,2
5701,Old Madras Road,1480.0,3.0,95.0,3
5702,Hormavu,1000.0,2.0,50.0,2
5703,HSR Layout,1145.0,2.0,46.0,2
5704,Bommasandra,800.0,1.0,32.0,2
5705,Thanisandra,1265.0,2.0,83.0,2
5706,Devanahalli,2425.0,3.0,88.2,3
5707,other,1475.0,2.0,70.0,2
5708,BTM 2nd Stage,1265.0,2.0,55.0,2
5709,Anandapura,1200.0,2.0,58.0,2
5710,Brookefield,1080.0,2.0,50.0,2
5711,Whitefield,2023.0,4.0,130.0,3
5712,other,2400.0,2.0,125.0,2
5713,Kadubeesanahalli,1545.0,2.0,66.0,3
5714,6th Phase JP Nagar,1350.0,2.0,58.0,3
5715,Hoodi,1108.0,2.0,74.23,2
5716,Marathahalli,1730.0,3.0,115.0,3
5717,other,1427.0,2.0,70.0,3
5718,Yelahanka,935.0,2.0,35.53,2
5719,Sarjapura - Attibele Road,1073.0,2.0,31.77,2
5720,Ananth Nagar,960.0,2.0,37.0,2
5721,Thigalarapalya,2215.0,4.0,150.0,3
5722,Electronic City Phase II,1125.0,2.0,32.49,2
5723,Brookefield,1230.0,2.0,55.0,2
5724,Mahadevpura,1438.0,2.0,89.0,2
5725,7th Phase JP Nagar,1080.0,2.0,75.0,2
5726,Uttarahalli,1590.0,3.0,58.0,3
5727,other,1350.0,3.0,68.0,3
5728,Raja Rajeshwari Nagar,1400.0,2.0,48.0,3
5729,Kaggadasapura,1560.0,2.0,72.0,3
5730,Mallasandra,1810.0,3.0,57.0,4
5731,other,2274.24,4.0,160.0,3
5732,Sonnenahalli,1484.0,3.0,74.18,3
5733,other,1455.0,2.0,55.0,3
5734,Thanisandra,2280.0,4.0,184.0,3
5735,Bharathi Nagar,1351.0,2.0,74.0,2
5736,Kanakpura Road,1223.0,2.0,42.81,3
5737,KR Puram,1430.0,2.0,61.0,3
5738,Electronic City Phase II,1310.0,2.0,37.83,3
5739,Sarjapur  Road,984.0,2.0,55.0,2
5740,Jalahalli,1770.0,3.0,100.0,3
5741,Bhoganhalli,1447.0,2.0,75.97,2
5742,Margondanahalli,1140.0,2.0,60.0,2
5743,Bommanahalli,1170.0,2.0,34.0,2
5744,Poorna Pragna Layout,1160.0,2.0,46.39,2
5745,Kanakpura Road,1296.0,2.0,89.0,2
5746,other,1570.0,3.0,80.0,3
5747,other,1495.0,2.0,65.0,3
5748,Hoodi,1530.0,2.0,67.0,3
5749,Gunjur,1800.0,3.0,70.0,3
5750,Bellandur,1088.0,2.0,48.0,2
5751,Hosa Road,1533.0,3.0,98.18,3
5752,Rachenahalli,1100.0,2.0,68.0,2
5753,Thubarahalli,1540.0,3.0,90.0,3
5754,Hebbal,1244.0,3.0,48.0,2
5755,Hosa Road,1040.0,2.0,68.59,2
5756,Begur Road,1260.0,2.0,39.69,2
5757,Uttarahalli,1180.0,2.0,41.3,2
5758,Thigalarapalya,1245.0,2.0,100.0,2
5759,other,1350.0,3.0,75.0,3
5760,other,1464.0,3.0,56.0,3
5761,Vijayanagar,920.0,2.0,60.0,2
5762,other,2300.0,7.0,160.0,6
5763,Yelahanka New Town,2095.0,3.0,109.0,4
5764,Begur Road,1100.0,2.0,71.42,2
5765,Vijayanagar,1019.0,2.0,58.0,2
5766,Harlur,1756.0,3.0,128.0,3
5767,Bommasandra,1280.0,3.0,50.0,3
5768,Whitefield,2134.0,4.0,118.0,3
5769,Hosa Road,1369.1,2.0,98.0,2
5770,other,2515.0,4.0,155.0,3
5771,Thigalarapalya,2215.0,4.0,154.0,3
5772,other,1440.0,3.0,72.0,3
5773,Hennur Road,1186.0,2.0,55.33,3
5774,Uttarahalli,1350.0,2.0,47.24,3
5775,Hebbal,1800.0,3.0,140.0,3
5776,Kudlu,1600.0,3.0,79.0,3
5777,GM Palaya,1000.0,2.0,35.0,2
5778,Banashankari Stage III,1305.0,2.0,59.0,3
5779,Kambipura,1082.0,2.0,45.5,3
5780,Nagarbhavi,1050.0,2.0,80.0,2
5781,other,1200.0,2.0,56.0,2
5782,Begur,3500.0,4.0,185.0,3
5783,Dasarahalli,1220.0,2.0,52.0,2
5784,Kanakapura,2130.0,4.0,120.0,4
5785,Harlur,1749.0,3.0,120.0,3
5786,other,1670.0,3.0,75.0,3
5787,Hennur Road,2264.0,3.0,168.0,3
5788,Begur,1100.0,2.0,55.0,2
5789,Chandapura,674.0,1.0,19.9,2
5790,Electronics City Phase 1,1125.0,2.0,65.0,2
5791,Nagavara,1125.0,2.0,44.5,2
5792,other,700.0,2.0,29.0,2
5793,BTM Layout,1300.0,2.0,75.0,3
5794,JP Nagar,1600.0,3.0,83.0,3
5795,Magadi Road,1052.0,2.0,60.0,3
5796,Devarachikkanahalli,1130.0,2.0,36.0,2
5797,Electronic City,1500.0,2.0,63.0,3
5798,Old Madras Road,1350.0,3.0,47.25,3
5799,Gottigere,1230.0,2.0,52.0,3
5800,Haralur Road,1520.0,2.0,85.0,3
5801,Kanakpura Road,525.0,1.0,26.25,1
5802,Hosa Road,1040.0,2.0,61.0,2
5803,other,1300.0,2.0,67.0,3
5804,Old Airport Road,2690.0,4.0,201.0,4
5805,Panathur,1140.0,2.0,51.2,2
5806,Nagavarapalya,646.0,1.0,25.84,1
5807,Kadugodi,1890.0,4.0,125.0,3
5808,Kadugodi,1050.0,2.0,34.0,2
5809,Whitefield,1458.0,2.0,62.0,3
5810,Green Glen Layout,1970.0,3.0,160.0,3
5811,Whitefield,1808.0,4.0,80.0,3
5812,Balagere,1007.0,2.0,67.0,2
5813,Doddathoguru,1105.0,2.0,50.0,2
5814,Raja Rajeshwari Nagar,1170.0,2.0,50.0,2
5815,Chandapura,1080.0,2.0,45.0,2
5816,Kaggalipura,1150.0,2.0,62.0,3
5817,Ramamurthy Nagar,1200.0,2.0,57.9,2
5818,other,1200.0,2.0,54.0,2
5819,Kudlu Gate,1656.0,3.0,75.0,3
5820,KR Puram,1040.0,2.0,50.0,2
5821,Hosur Road,1085.0,2.0,33.7,2
5822,other,1215.0,2.0,49.75,3
5823,NRI Layout,2150.0,4.0,115.0,4
5824,Panathur,1210.0,2.0,77.0,2
5825,other,1050.0,2.0,55.0,2
5826,Iblur Village,1920.0,3.0,150.0,3
5827,Uttarahalli,1250.0,2.0,50.0,3
5828,Malleshpalya,1421.0,2.0,90.0,2
5829,Old Madras Road,1425.0,2.0,74.31,3
5830,Budigere,1162.0,2.0,58.0,2
5831,Whitefield,905.0,1.0,60.0,1
5832,Sarjapur  Road,914.0,2.0,32.0,2
5833,other,1258.0,2.0,58.0,2
5834,Whitefield,1537.0,2.0,70.0,3
5835,Chikkalasandra,1230.0,2.0,53.51,3
5836,Hosur Road,2000.0,4.0,69.0,4
5837,Indira Nagar,3200.0,3.0,250.0,4
5838,Anjanapura,950.0,2.0,32.0,2
5839,Marathahalli,4000.0,4.0,200.0,4
5840,Yelahanka,1282.0,2.0,48.72,3
5841,Jakkur,1220.0,2.0,49.0,3
5842,Budigere,1636.0,3.0,85.0,3
5843,7th Phase JP Nagar,1415.0,3.0,65.0,3
5844,Green Glen Layout,1728.0,3.0,125.0,3
5845,7th Phase JP Nagar,1680.0,3.0,125.0,3
5846,Yelahanka,3990.0,4.0,260.0,4
5847,Kasavanhalli,1495.0,2.0,83.0,2
5848,Yeshwanthpur,2501.0,3.0,138.0,3
5849,Kanakpura Road,381.0,1.0,28.0,1
5850,Hennur Road,2002.0,3.0,120.0,3
5851,other,3200.0,3.0,260.0,3
5852,Banjara Layout,1200.0,2.0,70.0,2
5853,Bommasandra,1942.0,3.0,90.0,3
5854,other,1450.0,3.0,90.0,3
5855,Electronic City,1039.0,2.0,50.0,2
5856,Old Madras Road,1210.0,2.0,80.0,2
5857,Yelahanka,1620.0,3.0,90.0,3
5858,Hebbal Kempapura,3408.0,3.0,260.0,3
5859,Marathahalli,1314.0,2.0,55.0,2
5860,Bisuvanahalli,945.0,2.0,33.0,2
5861,Nehru Nagar,1374.0,3.0,72.0,3
5862,Kanakpura Road,1603.0,3.0,113.0,3
5863,Kengeri,1230.0,2.0,52.0,3
5864,Basavangudi,670.0,1.0,50.0,1
5865,Sarjapur  Road,1864.0,3.0,105.0,4
5866,Hosa Road,2500.0,3.0,100.0,3
5867,Raja Rajeshwari Nagar,1625.0,2.0,54.0,3
5868,Whitefield,1186.0,2.0,55.0,2
5869,Electronic City,770.0,1.0,39.9,2
5870,Varthur,1085.0,2.0,45.0,2
5871,other,1893.0,3.0,115.0,3
5872,Kundalahalli,1496.0,2.0,78.0,3
5873,Electronics City Phase 1,1550.0,2.0,82.0,3
5874,Marathahalli,1200.0,2.0,58.17,3
5875,Badavala Nagar,1494.0,2.0,94.55,3
5876,Electronic City Phase II,1286.0,2.0,69.0,2
5877,Hebbal,1860.0,3.0,95.0,3
5878,Haralur Road,1243.0,2.0,45.0,2
5879,Brookefield,1200.0,2.0,75.0,2
5880,Sarjapur,1044.0,2.0,32.0,2
5881,7th Phase JP Nagar,1040.0,2.0,41.59,2
5882,8th Phase JP Nagar,1125.0,2.0,36.94,2
5883,Subramanyapura,1278.0,2.0,59.0,3
5884,other,2400.0,6.0,98.0,6
5885,other,1250.0,2.0,43.0,2
5886,Vijayanagar,2400.0,6.0,125.0,5
5887,Lakshminarayana Pura,1210.0,2.0,75.0,2
5888,Sarjapur  Road,1157.0,2.0,57.84,3
5889,Raja Rajeshwari Nagar,1185.0,2.0,51.15,2
5890,Kalena Agrahara,1450.0,3.0,100.0,3
5891,Old Madras Road,1859.0,3.0,121.0,3
5892,Ramamurthy Nagar,1305.0,3.0,60.0,3
5893,Thanisandra,1165.5,1.0,35.285,1
5894,Kasavanhalli,5000.0,2.0,400.0,2
5895,Sarjapur  Road,1150.0,2.0,36.8,2
5896,Whitefield,1806.0,3.0,85.0,3
5897,Kudlu,1027.0,2.0,42.0,2
5898,Uttarahalli,1002.0,2.0,40.08,2
5899,Electronic City Phase II,1220.0,2.0,36.21,3
5900,Whitefield,1109.0,2.0,35.22,2
5901,Uttarahalli,1002.0,2.0,40.08,2
5902,Narayanapura,1308.0,2.0,89.04,2
5903,Hennur Road,1232.0,2.0,69.6,2
5904,Haralur Road,1027.0,2.0,44.0,2
5905,Kalyan nagar,1250.0,2.0,65.0,2
5906,Raja Rajeshwari Nagar,1255.0,2.0,53.87,2
5907,Akshaya Nagar,1434.0,3.0,84.0,3
5908,Doddathoguru,925.0,2.0,30.0,2
5909,Jakkur,1858.0,3.0,123.0,3
5910,other,1205.0,2.0,70.0,2
5911,other,1500.0,3.0,90.0,3
5912,Mysore Road,1020.0,2.0,48.95,2
5913,Thanisandra,965.0,2.0,56.0,2
5914,Battarahalli,1636.0,2.0,82.89,2
5915,Kundalahalli,1724.0,3.0,125.0,3
5916,Whitefield,1216.0,2.0,67.0,2
